Year,Projection,SEP_Date
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.25,2012-01-25
2012,0.5,2012-01-25
2012,1.0,2012-01-25
2013,0.25,2012-01-25
2013,0.25,2012-01-25
2013,0.25,2012-01-25
2013,0.25,2012-01-25
2013,0.25,2012-01-25
2013,0.25,2012-01-25
2013,0.25,2012-01-25
2013,0.25,2012-01-25
2013,0.25,2012-01-25
2013,0.25,2012-01-25
2013,0.25,2012-01-25
2013,0.5,2012-01-25
2013,0.75,2012-01-25
2013,0.75,2012-01-25
2013,1.75,2012-01-25
2013,2.0,2012-01-25
2014,0.25,2012-01-25
2014,0.25,2012-01-25
2014,0.25,2012-01-25
2014,0.25,2012-01-25
2014,0.25,2012-01-25
2014,0.25,2012-01-25
2014,0.5,2012-01-25
2014,0.5,2012-01-25
2014,0.75,2012-01-25
2014,1.0,2012-01-25
2014,1.0,2012-01-25
2014,1.5,2012-01-25
2014,2.0,2012-01-25
2014,2.5,2012-01-25
2014,2.5,2012-01-25
2014,2.5,2012-01-25
2014,2.75,2012-01-25
Longer Run,3.75,2012-01-25
Longer Run,4.0,2012-01-25
Longer Run,4.0,2012-01-25
Longer Run,4.0,2012-01-25
Longer Run,4.0,2012-01-25
Longer Run,4.0,2012-01-25
Longer Run,4.25,2012-01-25
Longer Run,4.25,2012-01-25
Longer Run,4.25,2012-01-25
Longer Run,4.5,2012-01-25
Longer Run,4.5,2012-01-25
Longer Run,4.5,2012-01-25
Longer Run,4.5,2012-01-25
Longer Run,4.5,2012-01-25
Longer Run,4.5,2012-01-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.25,2012-04-25
2012,0.5,2012-04-25
2012,1.25,2012-04-25
2013,0.25,2012-04-25
2013,0.25,2012-04-25
2013,0.25,2012-04-25
2013,0.25,2012-04-25
2013,0.25,2012-04-25
2013,0.25,2012-04-25
2013,0.25,2012-04-25
2013,0.25,2012-04-25
2013,0.25,2012-04-25
2013,0.25,2012-04-25
2013,0.25,2012-04-25
2013,0.75,2012-04-25
2013,1.0,2012-04-25
2013,1.0,2012-04-25
2013,1.25,2012-04-25
2013,1.75,2012-04-25
2013,1.75,2012-04-25
2014,0.25,2012-04-25
2014,0.25,2012-04-25
2014,0.25,2012-04-25
2014,0.25,2012-04-25
2014,0.5,2012-04-25
2014,0.5,2012-04-25
2014,0.5,2012-04-25
2014,1.0,2012-04-25
2014,1.0,2012-04-25
2014,1.5,2012-04-25
2014,2.0,2012-04-25
2014,2.0,2012-04-25
2014,2.25,2012-04-25
2014,2.5,2012-04-25
2014,2.5,2012-04-25
2014,2.5,2012-04-25
2014,2.75,2012-04-25
Longer Run,3.5,2012-04-25
Longer Run,3.75,2012-04-25
Longer Run,4.0,2012-04-25
Longer Run,4.0,2012-04-25
Longer Run,4.0,2012-04-25
Longer Run,4.0,2012-04-25
Longer Run,4.25,2012-04-25
Longer Run,4.25,2012-04-25
Longer Run,4.5,2012-04-25
Longer Run,4.5,2012-04-25
Longer Run,4.5,2012-04-25
Longer Run,4.5,2012-04-25
Longer Run,4.5,2012-04-25
Longer Run,4.5,2012-04-25
Longer Run,4.5,2012-04-25
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.25,2012-06-20
2012,0.5,2012-06-20
2012,0.5,2012-06-20
2012,0.75,2012-06-20
2013,0.25,2012-06-20
2013,0.25,2012-06-20
2013,0.25,2012-06-20
2013,0.25,2012-06-20
2013,0.25,2012-06-20
2013,0.25,2012-06-20
2013,0.25,2012-06-20
2013,0.25,2012-06-20
2013,0.25,2012-06-20
2013,0.25,2012-06-20
2013,0.25,2012-06-20
2013,0.25,2012-06-20
2013,0.25,2012-06-20
2013,0.5,2012-06-20
2013,0.75,2012-06-20
2013,1.0,2012-06-20
2013,1.25,2012-06-20
2013,1.25,2012-06-20
2013,1.75,2012-06-20
2014,0.25,2012-06-20
2014,0.25,2012-06-20
2014,0.25,2012-06-20
2014,0.25,2012-06-20
2014,0.25,2012-06-20
2014,0.25,2012-06-20
2014,0.5,2012-06-20
2014,0.5,2012-06-20
2014,0.5,2012-06-20
2014,0.5,2012-06-20
2014,0.75,2012-06-20
2014,1.5,2012-06-20
2014,1.5,2012-06-20
2014,1.75,2012-06-20
2014,1.75,2012-06-20
2014,2.0,2012-06-20
2014,2.5,2012-06-20
2014,2.75,2012-06-20
2014,3.0,2012-06-20
Longer Run,3.0,2012-06-20
Longer Run,3.5,2012-06-20
Longer Run,3.75,2012-06-20
Longer Run,4.0,2012-06-20
Longer Run,4.0,2012-06-20
Longer Run,4.0,2012-06-20
Longer Run,4.0,2012-06-20
Longer Run,4.0,2012-06-20
Longer Run,4.0,2012-06-20
Longer Run,4.25,2012-06-20
Longer Run,4.25,2012-06-20
Longer Run,4.25,2012-06-20
Longer Run,4.25,2012-06-20
Longer Run,4.25,2012-06-20
Longer Run,4.5,2012-06-20
Longer Run,4.5,2012-06-20
Longer Run,4.5,2012-06-20
Longer Run,4.5,2012-06-20
Longer Run,4.5,2012-06-20
2012,0.25,2012-09-13
2012,0.25,2012-09-13
2012,0.25,2012-09-13
2012,0.25,2012-09-13
2012,0.25,2012-09-13
2012,0.25,2012-09-13
2012,0.25,2012-09-13
2012,0.25,2012-09-13
2012,0.25,2012-09-13
2012,0.25,2012-09-13
2012,0.25,2012-09-13
2012,0.25,2012-09-13
